id,Title,Content
2834,"Harriet Shaw Weaver","British journalist and suffragist, funded writer James Joyce, gave a platform to modernist literature, and used her wealth and voice to fight for women’s progress"
2835,"Arvonne Fraser","<!-- wp:paragraph -->
<p>American women's rights advocate, senior fellow at the Humphrey Institute of Public Affairs, and the U.S. ambassador to the U.N. Commission on the Status of Women</p>
<!-- /wp:paragraph -->"
2836,"Annie Ernaux","French writer known for her powerful books about women’s lives, memory, and society, won the Nobel Prize in Literature in 2022"
2837,Lili'uokalani,"The last sovereign monarch of the Hawaiian Kingdom"
2838,"Lily Poulett Harris","Pioneer in Australian women’s cricket, founded the first recorded women’s cricket team in Tasmania in 1891"
2839,"Salma Hayek","Academy Awards nominated Mexican-American actress and activist"
2840,"Prudence Crandall","American educator and activist, remembered for opening the first school for Black girls in New England"
2841,"Sarah Orne Jewett","American author and poet, wrote the bestseller book, “The Country of the Pointed Firs"""
2842,"Olga Constantinovna","Queen consort of Greece through marriage to King George I, helped modernize social welfare in Greece"
2843,"Sarah Childress Polk","11th First Lady of the US and wife of President James K. Polk, lived nearly 42 years as a widow"
2844,"Mary Renault","Popular novelist known for her works set in ancient Greece. Explored themes of love, identity, and politics."
2845,"Beyonce Knowles","Rose to fame as lead singer of Destiny’s Child, global solo artist &amp; one of the most awarded artists ever"
2846,"Amy Beach","Amy Beach, pioneering American woman composer and pianist"
2847,"Claudette Colvin","One of the first successful American women composers. A child prodigy who wrote over 300 works"
2848,"Yuna Kim","Became one of the most celebrated figure skaters in history. Won gold at the 2010 Olympics"
2849,"Jane Addams","Nobel Peace Prize winner, Leading social reformer, co-founded Hull House in Chicago, and fought for women’s rights and social justice"
2850,"Catharine Beecher","Educator and writer, promoted women’s roles as teachers. Fought for women’s education"
2851,"Jessie Wilcox Smith","Famous illustrator, best known for her warm and tender images of women and children"
2852,"Grandma Moses","Beloved American folk painter, began painting late in life and gained fame worldwide"
2853,"Laura Ashley","Famous fashion designer and businesswoman, built a billion-dollar textile company"
2854,"Elizabeth I","Elizabeth I, daughter of Henry VIII and Anne Boleyn, became one of England’s most famous queens, ruling for 45 years"
2855,"Catherine of Bologna","Nun, artist, and later a saint, founded a convent, created religious writings, and painted"
2856,"Giuseppina Strepponi","Italian soprano and teacher, later married composer Giuseppe Verdi. Influenced Verdi’s work and supported his career."
2857,"Inez Knight Allen","A teacher, missionary, and politician from Utah, among the first women elected to Utah's legislature in 1913"
2858,"Mary Hunter Austin","American writer and critic. Her work “The Land of Little Rain” (1903) is a classic about the American desert"
